Code,Localite
3221,Nieuwrode
3272,Testelt
3300,Oorbeek
3350,Linter
3350,Melkwezer
3350,Neerhespen
3360,Opvelp
3370,Boutersem
3370,Vertrijk
3381,Kapellen
3391,Meensel-Kiezegem
3400,Laar
3401,Walsbets
3471,Hoeleden
3473,Waanrode
3501,Wimmertingen
3510,Kermt
3511,Stokrooie
3520,Zonhoven
3530,Houthalen
3540,Berbroek
3550,Heusden
3550,Zolder
3560,Meldert
3600,Genk
3620,Gellik
3620,Lanaken
3621,Rekem
3631,Boorsem
3650,Lanklaar
3670,Gruitrode
3670,Meeuwen
3700,Koninksem
3700,Mal
3700,Neerrepen
3700,Vreren
3700,Widooie
3740,Kleine-Spouwen
3740,Waltwilder
3790,Fourons
3800,Halmaal
3800,Ordingen
3803,Duras
3830,Berlingen
3840,Haren
3840,Kolmont
3870,Heks
3870,Horpmaal
3870,Rukkelingen-Loon
3870,Veulen
3890,Boekhout
3891,Buvingen
3930,Achel
3930,Hamont-Achel
3941,Eksel
3945,Ham
3960,Gerdingen
4000,Glain
4000,Rocourt
4020,Wandre
4041,Vottem
4051,Vaux-Sous-Chèvremont
4101,Jemeppe-Sur-Meuse
4121,Neuville-En-Condroz
4162,Hody
4210,Hannêche
4250,Boëlhe
4257,Berloz
4260,Avennes
4280,Avin
4280,Hannut
4280,Petit-Hallet
4280,Thisnes
4287,Pellaines
4287,Racour
4300,Bettincourt
4317,Viemme
4347,Noville
4350,Lamine
4357,Limont
4360,Grandville
4360,Otrange
4367,Kemexhe
4367,Odeur
4400,Awirs
4400,Flémalle-Grande
4400,Ivoz-Ramet
4432,Alleur
4450,Lantin
4460,Velroux
4480,Ehein
4530,Vieux-Waleffe
4537,Verlaine
4540,Ombret
4550,Saint-Séverin
4557,Abée
4557,Seny
4560,Bois-Et-Borsu
4560,Les Avins
4570,Vyle-Et-Tharoul
4577,Strée-Lez-Huy
4590,Ouffet
4608,Warsage
4670,Mortier
4682,Houtain-Saint-Siméon
4701,Kettenis
4711,Walhorn
4721,Neu-Moresnet
4760,Bullange
4790,Reuland
4800,Petit-Rechain
4840,Welkenraedt
4841,Henri-Chapelle
4845,Jalhay
4851,Gemmenich
4860,Cornesse
4860,Pepinster
4860,Wegnez
4910,Theux
4950,Sourbrodt
4970,Stavelot
4980,Fosse
4987,Stoumont
4990,Lierneux
5002,Saint-Servais
5003,Saint-Marc
5020,Champion
5020,Suarlée
5030,Lonzée
5031,Grand-Leez
5032,Corroy-Le-Château
5060,Falisolle
5080,Villers-Lez-Heest
5100,Dave
5101,Loyers
5170,Arbre
5170,Lustin
5190,Ham-Sur-Sambre
5190,Jemeppe-Sur-Sambre
5190,Mornimont
5190,Moustier-Sur-Sambre
5190,Onoz
5300,Coutisse
5300,Thon
5310,Aische-En-Refail
5310,Dhuy
5310,Eghezée
5310,Leuze
5310,Longchamps
5310,Upigny
5330,Sart-Bernard
5333,Sorinne-La-Longue
5334,Florée
5360,Natoye
5361,Scy
5362,Achet
5377,Hogne
5377,Noiseux
5380,Fernelmont
5380,Noville-Les-Bois
5380,Tillier
5500,Dinant
5502,Thynes
5520,Onhaye
5524,Gerin
5530,Houx
5537,Denée
5537,Haut-Le-Wastia
5540,Hermeton-Sur-Meuse
5541,Hastière-Par-Delà
5543,Heer
5550,Alle
5550,Laforet
5550,Vresse-Sur-Semois
5555,Bellefontaine
5555,Graide
5555,Naomé
5555,Oizy
5560,Ciergnon
5560,Finnevaux
5560,Mesnil-Eglise
5560,Mesnil-Saint-Blaise
5562,Custinne
5570,Beauraing
5570,Vonêche
5575,Louette-Saint-Pierre
5575,Patignies
5575,Vencimont
5590,Achêne
5590,Sovet
5600,Jamagne
5600,Surice
5620,Flavion
5620,Hemptinne-Lez-Florennes
5630,Daussois
5640,Mettet
5650,Chastrès
5651,Laneffe
5660,Frasnes
5670,Olloy-Sur-Viroin
5670,Treignes
5670,Viroinval
5680,Niverlée
6001,Marcinelle
6042,Lodelinsart
6110,Montigny-Le-Tilleul
6120,Ham-Sur-Heure
6140,Fontaine-L'evêque
6210,Rèves
6220,Fleurus
6221,Saint-Amand
6222,Brye
6238,Luttre
6280,Gougnies
6440,Vergnies
6461,Virelles
6463,Lompret
6464,Baileux
6464,Bourlers
6464,Forges
6470,Sautin
6500,Leugnies
6500,Leval-Chaudeville
6500,Solre-Saint-Géry
6530,Thuin
6560,Erquelinnes
6560,Solre-Sur-Sambre
6640,Morhet
6661,Mont
6700,Arlon
6717,Nothomb
6724,Houdemont
6730,Tintigny
6743,Buzenol
6750,Signeulx
6760,Ruette
6762,Saint-Mard
6767,Dampicourt
6767,Torgny
6769,Gérouville
6780,Wolkrange
6781,Sélange
6790,Aubange
6792,Rachecourt
6810,Chiny
6810,Jamoigne
6820,Florenville
6820,Muno
6820,Sainte-Cécile
6821,Lacuisine
6824,Chassepierre
6830,Poupehan
6840,Neufchâteau
6851,Nollevaux
6852,Opont
6853,Framont
6860,Mellier
6870,Awenne
6870,Mirwart
6870,Saint-Hubert
6870,Vesqueville
6890,Redu
6900,Aye
6900,Hargimont
6900,Humain
6900,On
6922,Halma
6929,Porcheresse
6941,Borlon
6950,Nassogne
6953,Forrières
6953,Lesterny
6970,Tenneville
7022,Harveng
7040,Goegnies-Chaussée
7041,Havay
7050,Erbisoeul
7050,Masnuy-Saint-Jean
7070,Le Roeulx
7070,Mignault
7080,Noirchain
7090,Braine-Le-Comte
7090,Hennuyères
7090,Ronquières
7110,Houdeng-Aimeries
7110,Houdeng-Goegnies
7110,Maurage
7120,Peissant
7140,Morlanwelz
7141,Mont-Sainte-Aldegonde
7160,Godarville
7170,Fayt-Lez-Manage
7170,La Hestre
7180,Seneffe
7181,Petit-Roeulx-Lez-Nivelles
7190,Ecaussinnes
7190,Marche-Lez-Ecaussinnes
7334,Villerot
7340,Paturages
7340,Wasmes
7350,Hensies
7387,Autreppe
7387,Erquennes
7387,Fayt-Le-Franc
7387,Roisin
7390,Wasmuel
7520,Templeuve
7522,Blandain
7531,Havinnes
7534,Barry
7602,Bury
7603,Bon-Secours
7604,Baugnies
7608,Wiers
7620,Brunehaut
7620,Wez-Velvain
7621,Lesdain
7730,Bailleul
7730,Saint-Léger
7742,Hérinnes-Lez-Pecq
7743,Obigies
7750,Orroir
7760,Pottes
7780,Comines
7784,Warneton
7800,Lanquesaint
7802,Ormeignies
7812,Villers-Notre-Dame
7823,Gibecq
7850,Marcq
7861,Wannebecq
7862,Ogy
7866,Bois-De-Lessines
7903,Chapelle-À-Wattines
7904,Willaupuis
7906,Gallaix
7910,Frasnes-Lez-Anvaing
7912,Dergneau
7940,Brugelette
7941,Attre
7943,Gages
7950,Huissignies
7950,Tongre-Saint-Martin
7951,Tongre-Notre-Dame
7971,Ramegnies
7971,Thumaide
7972,Quevaucamps
8210,Zedelgem
8211,Aartrijke
8301,Ramskapelle
8340,Sijsele
8377,Houtave
8400,Stene
8400,Zandvoorde
8432,Leffinge
8433,Schore
8434,Lombardsijde
8460,Roksem
8470,Snaaskerke
8480,Eernegem
8490,Snellegem
8490,Zerkegem
8511,Aalbeke
8550,Zwevegem
8573,Tiegem
8587,Espierres
8600,Keiem
8600,Vladslo
8600,Woumen
8630,Bulskamp
8650,Houthulst
8650,Merkem
8680,Zande
8700,Aarsele
8710,Wielsbeke
8720,Wakken
8790,Waregem
8792,Desselgem
8800,Beveren
8840,Oostnieuwkerke
8870,Emelgem
8906,Elverdinge
8930,Lauwe
8950,Heuvelland
8950,Nieuwkerke
8951,Dranouter
8953,Wijtschate
8972,Roesbrugge-Haringe
8978,Watou
8980,Zonnebeke
9031,Drongen
9051,Afsnee
9052,Zwijnaarde
9060,Zelzate
9070,Destelbergen
9080,Zeveneken
9112,Sinaai-Waas
9120,Melsele
9140,Elversele
9150,Bazel
9150,Rupelmonde
9160,Lokeren
9180,Moerbeke-Waas
9200,Appels
9220,Hamme
9220,Moerzeke
9240,Zele
9260,Wichelen
9280,Lebbeke
9290,Uitbergen
9308,Gijzegem
9400,Appelterre-Eichem
9400,Denderwindeke
9400,Lieferinge
9420,Erondegem
9450,Heldergem
9451,Kerksken
9500,Zarlardinge
9506,Smeerebbe-Vloerzegem
9520,Vlierzele
9550,Hillegem
9551,Ressegem
9552,Borsbeke
9570,Deftinge
9570,Lierde
9570,Sint-Maria-Lierde
9572,Sint-Martens-Lierde
9600,Renaix
9620,Strijpen
9630,Hundelgem
9630,Roborst
9630,Rozebeke
9660,Everbeek
9660,Sint-Maria-Oudenhove
9661,Parike
9680,Etikhove
9690,Kwaremont
9700,Edelare
9700,Mullem
9700,Ooike
9750,Huise
9750,Zingem
9770,Kruishoutem
9800,Astene
9810,Eke
9820,Bottelare
9820,Schelderode
9860,Gijzenzele
9880,Aalter
9890,Dikkelvenne
9900,Eeklo
9940,Ertvelde
9940,Evergem
9950,Waarschoot
9970,Kaprijke
9988,Watervliet
5600,Sart-En-Fagne
5620,Corenne
5620,Florennes
5621,Hanzinelle
5621,Hanzinne
5644,Ermeton-Sur-Biert
5646,Stave
5650,Castillon
5650,Fontenelle
5650,Yves-Gomezée
5660,Boussu-En-Fagne
5660,Cul-Des-Sarts
5670,Le Mesnil
5670,Mazée
5670,Nismes
5680,Romerée
5680,Vodelée
6000,Charleroi
6040,Jumet
6043,Ransart
6044,Roux
6061,Montignies-Sur-Sambre
6111,Landelies
6141,Forchies-La-Marche
6210,Les Bons Villers
6211,Mellet
6220,Lambusart
6240,Farciennes
6280,Loverval
6440,Boussu-Lez-Walcourt
6440,Froidchapelle
6464,L'escaillère
6464,Rièzes
6470,Grandrieu
6470,Montbliart
6470,Rance
6470,Sivry
6500,Renlies
6511,Strée
6533,Biercée
6534,Gozée
6543,Bienne-Lez-Happart
6560,Grand-Reng
6600,Longvilly
6600,Noville
6637,Fauvillers
6637,Hollange
6660,Houffalize
6660,Nadrin
6670,Limerlé
6680,Amberloup
6680,Tillet
6681,Lavacherie
6687,Bertogne
6688,Longchamps
6690,Bihain
6717,Attert
6717,Nobressart
6717,Thiaumont
6720,Habay
6720,Hachy
6730,Rossignol
6740,Etalle
6760,Virton
6767,Harnoncourt
6767,Rouvroy
6782,Habergy
6800,Bras
6800,Freux
6800,Saint-Pierre
6800,Sainte-Marie-Chevigny
6810,Izel
6811,Les Bulles
6830,Rochehaut
6832,Sensenruth
6833,Vivy
6834,Bellevaux
6860,Léglise
6880,Auby-Sur-Semois
6929,Haut-Fays
6940,Grandhan
6941,Izier
6941,Tohogne
6951,Bande
6953,Masbourg
6960,Dochamps
6960,Grandmenil
6960,Malempré
6990,Hotton
6997,Mormont
6997,Soy
7012,Flénu
7012,Jemappes
7020,Nimy
7022,Hyon
7022,Nouvelles
7024,Ciply
7033,Cuesmes
7050,Herchies
7062,Naast
7090,Petit-Roeulx-Lez-Braine
7100,Haine-Saint-Pierre
7110,Strépy-Bracquegnies
7120,Estinnes
7130,Binche
7130,Bray
7131,Waudrez
7133,Buvrinnes
7134,Leval-Trahegnies
7141,Carnières
7170,Manage
7181,Arquennes
7190,Ecaussinnes-D'enghien
7320,Bernissart
7321,Harchies
7322,Ville-Pommeroeul
7332,Sirault
7334,Hautrage
7370,Dour
7380,Baisieux
7380,Quiévrain
7387,Angreau
7387,Montignies-Sur-Roc
7500,Ere
7502,Esplechin
7503,Froyennes
7504,Froidmont
7506,Willemeau
7520,Ramegnies-Chin
7530,Gaurain-Ramecroix
7534,Maulde
7538,Vezon
7540,Kain
7540,Melles
7540,Quartes
7601,Roucourt
7604,Brasmenil
7622,Laplaigne
7623,Rongy
7624,Howardries
7640,Péronnes-Lez-Antoing
7700,Mouscron
7712,Herseaux
7811,Arbre
7812,Houtaing
7812,Villers-Saint-Amand
7822,Isières
7830,Silly
7850,Petit-Enghien
7860,Lessines
7861,Papignies
7866,Ollignies
7870,Montignies-Lez-Lens
7890,Ellezelles
7890,Wodecq
7900,Grandmetz
7903,Blicquy
7911,Buissenal
7911,Frasnes-Lez-Buissenal
7911,Montroeul-Au-Bois
7911,Oeudeghien
7912,Saint-Sauveur
7942,Mévergnies-Lez-Lens
7950,Chièvres
7950,Grosage
7971,Wadelincourt
8020,Oostkamp
8300,Knokke
8300,Westkapelle
8310,Assebroek
8340,Lapscheure
8370,Uitkerke
8377,Meetkerke
8380,Dudzele
8380,Lissewege
8400,Oostende
8421,Vlissegem
8434,Westende
8460,Westkerke
8480,Bekegem
8500,Kortrijk
8510,Marke
8531,Bavikhove
8540,Deerlijk
8551,Heestert
8552,Moen
8554,Sint-Denijs
8560,Wevelgem
8570,Anzegem
8581,Kerkhove
8600,Beerst
8600,Nieuwkapelle
8600,Pervijze
8610,Handzame
8620,Nieuwpoort
8630,Avekapelle
8630,Eggewaartskapelle
8630,Zoutenaaie
8640,Woesten
8647,Noordschote
8660,Adinkerke
8670,Oostduinkerke
8690,Hoogstade
8691,Leisele
8700,Kanegem
8700,Schuiferskapelle
8720,Dentergem
8720,Markegem
8750,Wingene
8800,Roeselare
8851,Koolskamp
8870,Kachtem
8890,Dadizele
8902,Hollebeke
8902,Zillebeke
8920,Poelkapelle
8930,Menen
8940,Wervik
8952,Wulvergem
8954,Westouter
8980,Beselare
9041,Oostakker
9050,Gentbrugge
9070,Heusden
9080,Lochristi
9100,Sint-Niklaas
9130,Verrebroek
9140,Tielrode
9160,Eksaarde
9170,De Klinge
9170,Meerdonk
9170,Sint-Gillis-Waas
9200,Mespelare
9230,Westrem
9270,Kalken
9308,Hofstade
9310,Herdersem
9310,Moorsel
9320,Erembodegem
9340,Oordegem
9340,Smetlede
9402,Meerbeke
9404,Aspelare
9406,Outer
9420,Mere
9473,Welle
9500,Geraardsbergen
9506,Grimminge
9506,Nieuwenhove
9520,Bavegem
9550,Steenhuize-Wijnhuize
9620,Godveerdegem
9630,Beerlegem
9630,Munkzwalm
9630,Sint-Maria-Latem
9660,Michelbeke
9690,Berchem
9700,Leupegem
9700,Mater
9700,Melden
9700,Welden
9750,Ouwegem
9790,Elsegem
9790,Wortegem-Petegem
9800,Gottem
9800,Meigem
9800,Sint-Martens-Leerne
9800,Wontergem
9820,Melsen
9840,De Pinte
9850,Merendree
9860,Balegem
9860,Oosterzele
9890,Baaigem
9920,Lovendegem
9930,Zomergem
9932,Ronsele
9960,Assenede
9971,Lembeke
1000,Bruxelles
1090,Jette
1140,Evere
1160,Auderghem
1190,Forest
1200,Woluwe-Saint-Lambert
1315,Incourt
1315,Roux-Miroir
1325,Corroy-Le-Grand
1340,Ottignies
1350,Jauche
1357,Opheylissem
1360,Malèves-Sainte-Marie-Wastines
1360,Thorembais-Saint-Trond
1367,Bomal
1367,Huppaye
1367,Mont-Saint-André
1370,Jodoigne-Souveraine
1380,Maransart
1380,Ohain
1390,Biez
1401,Baulers
1450,Cortil-Noirmont
1460,Ittre
1471,Loupoigne
1480,Clabecq
1490,Court-Saint-Etienne
1495,Marbais
1540,Herfelingen
1547,Biévène
1600,Oudenaken
1600,Sint-Pieters-Leeuw
1602,Vlezenbeek
1620,Drogenbos
1630,Linkebeek
1640,Rhode-Saint-Genèse
1654,Huizingen
1670,Pepingen
1671,Elingen
1700,Sint-Ulriks-Kapelle
1730,Bekkerzeel
1740,Ternat
1741,Wambeek
1745,Mazenzele
1750,Sint-Martens-Lennik
1755,Gooik
1785,Merchtem
1800,Peutie
1820,Perk
1830,Machelen
1850,Grimbergen
1851,Humbeek
1852,Beigem
1853,Strombeek-Bever
1880,Kapelle-Op-Den-Bos
1930,Zaventem
1950,Kraainem
1970,Wezembeek-Oppem
2020,Antwerpen
2030,Antwerpen
2040,Lillo
2060,Antwerpen
2170,Merksem
2180,Ekeren
2200,Noorderwijk
2235,Westmeerbeek
2250,Olen
2260,Oevel
2260,Westerlo
2323,Wortel
2380,Ravels
2381,Weelde
2431,Veerle
2460,Kasterlee
2460,Lichtaart
2470,Retie
2520,Broechem
2540,Hove
2550,Waarloos
2560,Nijlen
2610,Wilrijk
2660,Hoboken
2830,Willebroek
2840,Reet
2845,Niel
2900,Schoten
2920,Kalmthout
2950,Kapellen
2970,'s Gravenwezel
2980,Halle
3001,Heverlee
3040,Huldenberg
3051,Sint-Joris-Weert
3052,Blanden
3054,Vaalbeek
3060,Korbeek-Dijle
3070,Kortenberg
3078,Everberg
3140,Keerbergen
3210,Linden
3210,Lubbeek
3270,Scherpenheuvel
3270,Scherpenheuvel-Zichem
3290,Schaffen
3300,Kumtich
3300,Sint-Margriete-Houtem
3300,Vissenaken
3320,Meldert
3360,Korbeek-Lo
3370,Kerkom
3390,Tielt-Winge
3400,Ezemaal
3400,Landen
3400,Neerwinden
3400,Rumsdorp
3401,Waasmont
3401,Wezeren
3404,Neerlanden
3440,Halle-Booienhoven
3440,Helen-Bos
3450,Grazen
3460,Assent
3470,Kortenaken
3470,Sint-Margriete-Houtem
3530,Houthalen-Helchteren
3540,Donk
3540,Schulen
3560,Lummen
3583,Paal
3620,Neerharen
3630,Eisden
3640,Kessenich
3650,Dilsen
3650,Dilsen-Stokkem
3650,Rotem
3650,Stokkem
3670,Wijshagen
3680,Maaseik
3680,Opoeteren
3690,Zutendaal
3700,'s Herenelderen
3720,Kortessem
3723,Guigoven
3732,Schalkhoven
3740,Eigenbilzen
3740,Grote-Spouwen
3740,Hees
3740,Munsterbilzen
3770,Vroenhoven
3800,Engelmanshoven
3800,Groot-Gelmen
3800,Sint-Truiden
3831,Herten
3832,Ulbeek
3840,Gors-Opleeuw
3840,Gotem
3840,Jesseren
3840,Kerniel
3870,Bovelingen
3870,Klein-Gelmen
3870,Mettekoven
3890,Gingelom
3891,Muizen
3945,Kwaadmechelen
3950,Reppel
3960,Bree
3971,Heppen
3990,Wijchmaal
4020,Bressoux
4020,Liège
4030,Grivegnee
4031,Angleur
4100,Boncelles
4120,Neupré
4122,Plainevaux
4140,Sprimont
4160,Anthisnes
4161,Villers-Aux-Tours
4163,Tavier
4180,Comblain-Fairon
4180,Comblain-La-Tour
4190,My
4190,Vieuxville
4210,Lamontzée
4218,Couthuin
4219,Ambresin
4219,Meeffe
4250,Hollogne-Sur-Geer
4250,Lens-Saint-Servais
4252,Omal
4254,Ligney
4263,Tourinne
4280,Avernas-Le-Bauduin
4280,Crehen
4280,Lens-Saint-Remy
4300,Grand-Axhe
4317,Aineffe
4317,Celles
4350,Momalle
4350,Remicourt
4351,Hodeige
4357,Donceel
4357,Jeneffe
4360,Bergilers
4360,Oreye
4400,Flémalle
4420,Saint-Nicolas
4431,Loncin
4432,Xhendremael
4450,Slins
4480,Engis
4500,Ben-Ahin
4500,Tihange
4520,Antheit
4530,Fize-Fontaine
4530,Warnant-Dreye
4537,Bodegnée
4540,Amay
4550,Nandrin
4560,Ocquier
4600,Richelle
4601,Argenteau
4610,Bellaire
4621,Retinne
4623,Magnée
4631,Evegnée
4633,Melen
4650,Julémont
4670,Blégny
4671,Housse
4671,Saive
4680,Hermée
4684,Haccourt
4690,Eben-Emael
4690,Wonck
4700,Eupen
4720,La Calamine
4750,Elsenborn
4760,Manderfeld
4770,Meyerode
4771,Heppenbach
4830,Limbourg
4831,Bilstain
4837,Membach
4850,Moresnet
4850,Plombières
4880,Aubel
4890,Thimister
4890,Thimister-Clermont
4900,Spa
4910,La Reid
4920,Ernonheid
4920,Harzé
4950,Robertville
4950,Waimes
4960,Bevercé
4987,Chevron
4987,La Gleize
4987,Lorcé
4987,Rahier
5000,Beez
5001,Belgrade
5020,Flawinne
5020,Temploux
5020,Vedrin
5024,Gelbressée
5030,Ernage
5030,Sauvenière
5060,Velaine-Sur-Sambre
5070,Sart-Eustache
5080,Warisoulx
5081,Bovesse
5100,Naninne
5140,Boignée
5140,Ligny
5140,Tongrinne
5150,Floreffe
5150,Soye
5170,Lesve
5170,Profondeville
5190,Saint-Martin
5300,Andenne
5300,Maizeret
5300,Sclayn
5310,Mehaigne
5310,Saint-Germain
5330,Assesse
5330,Maillen
5332,Crupet
5340,Sorée
5350,Ohey
5354,Jallet
5370,Porcheresse
5372,Méan
5376,Miécret
5380,Cortil-Wodon
5380,Forville
5380,Marchovelette
5500,Bouvignes-Sur-Meuse
5500,Falmignoul
5500,Furfooz
5504,Foy-Notre-Dame
5530,Durnal
5530,Purnode
5530,Spontin
5537,Bioul
5537,Warnant
5540,Hastière
5544,Agimont
5550,Bagimont
5550,Sugny
5555,Gros-Fays
5560,Houyet
5563,Hour
5570,Honnay
5571,Wiesme
5573,Martouzin-Neuville
5575,Louette-Saint-Denis
5575,Rienne
5580,Ave-Et-Auffe
5580,Rochefort
5590,Chevetogne
5590,Serinchamps
5600,Fagnolle
5600,Merlemont
5600,Neuville
5600,Omezée
1040,Etterbeek
1050,Ixelles
1070,Anderlecht
1130,Haren
1150,Woluwe-Saint-Pierre
1210,Saint-Josse-Ten-Noode
1300,Wavre
1320,Hamme-Mille
1320,Tourinnes-La-Grosse
1325,Chaumont-Gistoux
1341,Céroux-Mousty
1350,Orp-Le-Grand
1367,Grand-Rosière-Hottomont
1367,Ramillies
1370,Jauchelette
1370,Lathuy
1370,Zétrud-Lumay
1380,Lasne
1390,Grez-Doiceau
1390,Nethen
1400,Monstreux
1430,Rebecq
1435,Mont-Saint-Guibert
1440,Braine-Le-Château
1450,Saint-Géry
1457,Nil-Saint-Vincent-Saint-Martin
1457,Tourinnes-Saint-Lambert
1470,Bousval
1472,Vieux-Genappe
1474,Ways
1480,Oisquercq
1480,Saintes
1480,Tubize
1570,Galmaarden
1570,Tollembeek
1601,Ruisbroek
1651,Lot
1652,Alsemberg
1653,Dworp
1674,Bellingen
1702,Groot-Bijgaarden
1730,Mollem
1750,Lennik
1750,Sint-Kwintens-Lennik
1755,Oetingen
1760,Onze-Lieve-Vrouw-Lombeek
1760,Pamel
1760,Roosdaal
1761,Borchtlombeek
1790,Affligem
1790,Essene
1790,Teralfene
1840,Londerzeel
1860,Meise
1910,Buken
1910,Kampenhout
1980,Zemst
1982,Weerde
2140,Borgerhout
2221,Booischot
2275,Lille
2275,Wechelderzande
2300,Turnhout
2310,Rijkevorsel
2322,Minderhout
2340,Beerse
2370,Arendonk
2390,Malle
2431,Varendonk
2530,Boechout
2560,Bevel
2560,Kessel
2630,Aartselaar
2811,Hombeek
2820,Rijmenam
2840,Rumst
2850,Boom
2860,Sint-Katelijne-Waver
2880,Mariekerke
2880,Weert
2890,Sint-Amands
2940,Stabroek
2960,Brecht
3018,Wijgmaal
3020,Winksele
3040,Neerijse
3060,Bertem
3080,Duisburg
3118,Werchter
3128,Baal
3150,Haacht
3200,Aarschot
3200,Gelrode
3220,Holsbeek
3220,Sint-Pieters-Rode
3290,Deurne
3294,Molenstede
3300,Oplinter
3350,Neerlinter
3350,Orsmaal-Gussenhoven
3350,Overhespen
3350,Wommersom
3360,Bierbeek
3360,Lovenjoel
3370,Willebringen
3390,Sint-Joris-Winge
3400,Overwinden
3440,Budingen
3454,Rummen
3460,Bekkevoort
3461,Molenbeek-Wersbeek
3472,Kersbeek-Miskom
3510,Spalbeek
3545,Loksbergen
3580,Beringen
3590,Diepenbeek
3620,Veldwezelt
3630,Mechelen-Aan-De-Maas
3630,Meeswijk
3640,Molenbeersel
3640,Ophoven
3650,Elen
3665,As
3668,Niel-Bij-As
3670,Meeuwen-Gruitrode
3680,Neeroeteren
3700,Berg
3700,Haren
3700,Nerem
3700,Overrepen
3700,Rutten
3730,Romershoven
3730,Werm
3740,Beverst
3740,Mopertingen
3770,Genoelselderen
3791,Remersdaal
3793,Teuven
3800,Brustem
3800,Zepperen
3803,Wilderen
3806,Velm
3830,Wellen
3840,Bommershoven
3840,Rijkel
3850,Kozen
3870,Batsheers
3870,Heers
3930,Hamont
3940,Hechtel-Eksel
3960,Beek
3960,Tongerlo
3980,Tessenderlo
4000,Liège
4032,Chênee
4042,Liers
4053,Embourg
4130,Esneux
4140,Dolembreux
4140,Gomzé-Andoumont
4141,Louveigné
4190,Ferrières
4210,Oteppe
4217,Lavoir
4217,Waret-L'evêque
4219,Acosse
4219,Wasseiges
4260,Braives
4280,Abolens
4280,Bertrée
4280,Merdorp
4280,Moxhe
4280,Poucet
4280,Trognée
4287,Lincent
4300,Oleye
4317,Faimes
4317,Les Waleffes
4340,Awans
4340,Fooz
4340,Villers-L'evêque
4342,Hognoul
4347,Voroux-Goreux
4350,Pousset
4400,Mons-Lez-Liège
4450,Juprelle
4453,Villers-Saint-Siméon
4458,Fexhe-Slins
4460,Bierset
4460,Grâce-Berleur
4470,Saint-Georges-Sur-Meuse
4480,Clermont-Sous-Huy
4480,Hermalle-Sous-Huy
4520,Bas-Oha
4520,Wanze
4530,Vaux-Et-Borset
4540,Flône
4550,Yernée-Fraineux
4557,Soheit-Tinlot
4557,Tinlot
4560,Pailhe
4560,Terwagne
4577,Outrelouxhe
4590,Warzée
4600,Visé
4607,Berneau
4607,Bombaye
4607,Mortroux
4630,Soumagne
4651,Battice
4652,Xhendelesse
4653,Bolland
4671,Barchon
4682,Heure-Le-Romain
4690,Bassenge
4690,Boirs
4728,Hergenrath
4761,Rocherath
4770,Amblève
4780,Saint-Vith
4783,Lommersweiler
4784,Crombach
4800,Verviers
4820,Dison
4850,Montzen
4861,Soiron
4870,Nessonvaux
4920,Louveigné
4960,Malmedy
4970,Francorchamps
4990,Arbrefontaine
5004,Bouge
5022,Cognelée
5032,Mazy
5060,Moignelée
5070,Le Roux
5070,Sart-Saint-Laurent
5070,Vitrival
5080,Emines
5081,Meux
5170,Bois-De-Villers
5190,Balâtre
5310,Boneffe
5310,Noville-Sur-Méhaigne
5310,Taviers
5336,Courrière
5340,Gesves
5340,Haltinne
5353,Goesnes
5363,Emptinne
5374,Maffe
5377,Somme-Leuze
5380,Bierwart
5380,Hemptinne
